t,eyebrows_interp,pitch
0.23,-1.7951261543497237,
0.232,-1.8041740833752964,
0.234,-1.81149859734838,
0.236,-1.815376281216485,
0.238,-1.8192539650845905,
0.24,-1.8231316489526956,
0.242,-1.8270093328208008,
0.244,-1.8308870166889062,
0.246,-1.8347647005570114,
0.248,-1.8386423844251165,
0.25,-1.8425200682932217,
0.252,-1.846397752161327,
0.254,-1.8502754360294322,
0.256,-1.8541531198975374,
0.258,-1.8580308037656428,
0.26,-1.861908487633748,
0.262,-1.865786171501853,
0.264,-1.8696638553699585,
0.266,-1.8735415392380637,
0.268,-1.874834100527432,
0.27,-1.874834100527432,
0.272,-1.874834100527432,
0.274,-1.874834100527432,
0.276,-1.874834100527432,
0.278,-1.874834100527432,
0.28,-1.874834100527432,
0.282,-1.874834100527432,
0.284,-1.874834100527432,
0.286,-1.874834100527432,
0.288,-1.874834100527432,
0.29,-1.874834100527432,
0.292,-1.874834100527432,
0.294,-1.874834100527432,
0.296,-1.874834100527432,
0.298,-1.874834100527432,
0.3,-1.874834100527432,
0.302,-1.8800043456848923,
0.304,-1.8851745908423523,
0.306,-1.8903448359998125,
0.308,-1.8955150811572727,
0.31,-1.900685326314733,
0.312,-1.905855571472193,
0.314,-1.9110258166296532,
0.316,-1.9161960617871134,
0.318,-1.9213663069445737,
0.32,-1.9265365521020337,
0.322,-1.931706797259494,
0.324,-1.9368770424169541,
0.326,-1.9420472875744141,
0.328,-1.9472175327318744,
0.33,-1.9523877778893346,
0.332,-1.9575580230467948,
0.334,-1.9584197305730335,
0.336,-1.9506643628368305,
0.338,-1.9429089951006273,
0.34,-1.9351536273644243,
0.342,-1.927398259628221,
0.344,-1.9196428918920183,
0.346,-1.911887524155815,
0.348,-1.904132156419612,
0.35,-1.8963767886834089,
0.352,-1.8886214209472056,
0.354,-1.8808660532110026,
0.356,-1.8731106854747994,
0.358,-1.8653553177385964,
0.36,-1.8575999500023932,
0.362,-1.8498445822661902,
0.364,-1.842089214529987,
0.366,-1.834333846793784,
0.368,-1.8369189693725185,
0.37,-1.8446743371087215,
0.372,-1.8524297048449248,
0.374,-1.8601850725811278,
0.376,-1.8679404403173308,
0.378,-1.875695808053534,
0.38,-1.883451175789737,
0.382,-1.8912065435259402,
0.384,-1.8989619112621432,
0.386,-1.9067172789983464,
0.388,-1.9144726467345494,
0.39,-1.9222280144707526,
0.392,-1.9299833822069556,
0.394,-1.9377387499431589,
0.396,-1.9454941176793619,
0.398,-1.953249485415565,
0.4,-1.961004853151768,
0.402,-1.9765155886241854,
0.404,-1.9920263240966025,
0.406,-2.0075370595690196,
0.408,-2.0230477950414367,
0.41,-2.038558530513854,
0.412,-2.0540692659862714,
0.414,-2.0695800014586885,
0.416,-2.0850907369311056,
0.418,-2.1006014724035227,
0.42,-2.1161122078759402,
0.422,-2.1316229433483573,
0.424,-2.1471336788207744,
0.426,-2.162644414293192,
0.428,-2.178155149765609,
0.43,-2.193665885238026,
0.432,-2.2091766207104437,
0.434,-2.218224549736018,
0.436,-2.2143468658679053,
0.438,-2.210469181999793,
0.44,-2.20659149813168,
0.442,-2.2027138142635674,
0.444,-2.198836130395455,
0.446,-2.1949584465273424,
0.448,-2.19108076265923,
0.45,-2.187203078791117,
0.452,-2.1833253949230045,
0.454,-2.179447711054892,
0.456,-2.1755700271867795,
0.458,-2.171692343318667,
0.46,-2.1678146594505545,
0.462,-2.1639369755824416,
0.464,-2.160059291714329,
0.466,-2.1561816078462166,
0.468,-2.156612461609341,
0.47,-2.159197584188084,
0.472,-2.161782706766827,
0.474,-2.16436782934557,
0.476,-2.166952951924313,
0.478,-2.1695380745030555,
0.48,-2.1721231970817985,
0.482,-2.1747083196605415,
0.484,-2.1772934422392844,
0.486,-2.1798785648180274,
0.488,-2.1824636873967704,
0.49,-2.1850488099755134,
0.492,-2.1876339325542564,
0.494,-2.190219055132999,
0.496,-2.192804177711742,
0.498,-2.195389300290485,
0.5,-2.197974422869228,
0.502,-2.164367829345676,
0.504,-2.1307612358221246,
0.506,-2.0971546422985727,
0.508,-2.0635480487750213,
0.51,-2.0299414552514694,
0.512,-1.9963348617279177,
0.514,-1.9627282682043659,
0.516,-1.9291216746808142,
0.518,-1.8955150811572625,
0.52,-1.8619084876337109,
0.522,-1.828301894110159,
0.524,-1.7946953005866073,
0.526,-1.7610887070630556,
0.528,-1.727482113539504,
0.53,-1.6938755200159523,
0.532,-1.6602689264924004,
0.534,-1.6275240404950952,
0.536,-1.5965025695502828,
0.538,-1.5654810986054704,
0.54,-1.534459627660658,
0.542,-1.5034381567158455,
0.544,-1.472416685771033,
0.546,-1.4413952148262206,
0.548,-1.4103737438814081,
0.55,-1.3793522729365957,
0.552,-1.3483308019917832,
0.554,-1.3173093310469706,
0.556,-1.2862878601021581,
0.558,-1.2552663891573457,
0.56,-1.2242449182125332,
0.562,-1.1932234472677208,
0.564,-1.1622019763229101,
0.566,-1.1311805053780977,
0.568,-1.1182548924844278,
0.57,-1.11437720861633,
0.572,-1.110499524748232,
0.574,-1.106621840880134,
0.576,-1.1027441570120362,
0.578,-1.0988664731439384,
0.58,-1.0949887892758405,
0.582,-1.0911111054077425,
0.584,-1.0872334215396446,
0.586,-1.0833557376715468,
0.588,-1.079478053803449,
0.59,-1.075600369935351,
0.592,-1.071722686067253,
0.594,-1.0678450021991552,
0.596,-1.0639673183310574,
0.598,-1.0600896344629593,
0.6,-1.0562119505948615,
0.602,-1.027775602228781,
0.604,-0.9993392538627005,
0.606,-0.97090290549662,
0.608,-0.9424665571305395,
0.61,-0.914030208764459,
0.612,-0.8855938603983784,
0.614,-0.857157512032298,
0.616,-0.8287211636662174,
0.618,-0.800284815300137,
0.62,-0.7718484669340564,
0.622,-0.7434121185679758,
0.624,-0.7149757702018953,
0.626,-0.6865394218358148,
