"condition","RR","DET","L","rENTR","LAM","TT"
"ground",4.19387787672763,99.4603851130223,13.2603754439356,0.882565486246514,99.8652865514879,28.4072310023815
"wobble_board",7.63000522259144,99.3619035082771,18.4517518333128,0.766883648908213,99.5298896180823,21.1377795527157
