,0
0,-0.9127483507076669
1,-1.0459934631231262
2,-1.2030323456128416
3,-1.3648299821173917
4,-1.4695225704438146
5,-1.693184009141273
6,-1.8882929237496948
7,-2.1119543624471264
8,-2.1928531806994016
9,-2.154783148580695
10,-2.0976781004026215
11,-1.8121528595122818
12,-1.6598727310374015
13,-1.4885575865031813
14,-1.3600712281025027
15,-1.341036212043163
16,-1.4171762762805762
17,-1.5028338485477404
18,-1.607526436874136
19,-1.864499153675466
20,-1.9882267580612827
21,-2.340374555159447
22,-2.511689699693613
23,-2.6068647799904197
24,-2.5735535018865483
25,-2.754386154450465
26,-2.7876974325542827
27,-2.8876312668659248
28,-3.1303277216227228
29,-3.496751780765365
30,-3.6585494172698607
31,-3.8060707917299332
32,-3.748965743551833
33,-3.649031909240191
34,-3.553856828943438
35,-3.496751780765365
36,-3.3492304063053466
37,-3.192191523815658
38,-3.1303277216227228
39,-3.0970164435188514
40,-3.1588802457117597
41,-3.1017751975337133
42,-2.9970826092072635
43,-2.925701298984658
44,-2.840043726717548
45,-2.8162499566433734
46,-2.7020398602872
47,-2.5259659617381716
48,-2.4641021595452632
49,-2.340374555159447
50,-2.4688609135600714
51,-2.4403083894710345
52,-2.378444587278153
53,-2.4688609135600985
54,-2.478378421589741
55,-2.5212072077233096
56,-2.611623534005282
57,-2.6354173040794566
58,-2.6401760580942915
59,-2.6211410420349517
60,-2.311822031070356
61,-1.9834680040465018
62,-1.2125498536425385
63,-0.7414332061734198
64,-0.451149211268218
65,-0.21797026454111668
66,-0.09424266015530008
67,-0.16562397037787827
68,-0.19893524848174987
69,-0.056172628036566474
70,-0.10851892219977785
71,-0.17038272439274024
72,-0.26555780468949314
73,-0.2988690827933377
74,-0.28459282074885994
75,-0.2988690827933918
76,-0.24652278863015337
77,-0.2512815426449613
78,-0.32742160688237437
79,-0.34169786892690623
80,-0.2893515747636949
81,-0.3321803608972634
82,-0.3274216068824285
83,-0.3083865908230346
84,-0.2465227886301263
85,-0.19893524848177693
86,-0.1799002324224372
87,-0.22272901855595162
88,-0.24176403461531842
89,-0.21797026454108964
90,-0.17990023242241013
91,-0.1085189221998049
92,-0.0894839061404381
93,-0.008585087888217092
94,0.010449928171176763
95,-0.022861349932667807
96,0.01996743620084664
97,0.01996743620084664
98,0.04851996028991037
99,0.03900245226018639
100,-0.022861349932721906
101,-0.10851892219983195
102,-0.09424266015530008
103,-0.0894839061404381
104,-0.008585087888190042
105,-0.02286134993269486
106,-0.02286134993269486
107,-0.022861349932721906
108,-0.0894839061404381
109,-0.0894839061404381
110,-0.027620103947502746
111,-0.2132115105262547
112,-0.35121537695660315
113,-0.4273554411940163
114,-0.5177717674759883
115,-0.5510830455798599
116,-0.4225966871792084
117,-0.4939779974017595
118,-0.3750091470308049
119,-0.3321803608972634
120,-0.30362783680819966
121,-0.19417649446691496
122,-0.19893524848174987
123,-0.14183020030367652
124,-0.14183020030367652
125,-0.10376016818496996
126,-0.03237885796239178
127,-0.05141387402173154
128,-0.07996639811076822
129,-0.09424266015530008
130,-0.1323126922739796
131,-0.10376016818496996
132,-0.20845275651141976
133,-0.23224652658564854
134,-0.24176403461531842
135,-0.26555780468952017
136,-0.22272901855595162
137,-0.12279518424433676
138,-0.07996639811076822
139,-0.12755393825917172
140,-0.11803643022950183
141,-0.1703827243927673
142,-0.12755393825919875
143,-0.21321151052628176
144,-0.22748777257078656
145,-0.3464566229417682
146,-0.4130791791495385
147,-0.4701842273276119
148,-0.42259668717918136
149,-0.35597413097141106
150,-0.365491639001108
151,-0.3988029171049796
152,-0.44639045725341014
153,-0.5272892755056582
154,-0.5177717674760154
155,-0.5034955054314835
156,-0.42259668717918136
157,-0.42735544119404334
158,-0.365491639001108
159,-0.4416317032385752
160,-0.4130791791494844
161,-0.35121537695660315
162,-0.3797679010456669
163,-0.3464566229417682
164,-0.42259668717923543
165,-0.44639045725341014
166,-0.532048029520466
167,-0.5130130134611264
168,-0.6462581258766399
169,-0.7652269762476215
170,-0.7890207463218233
171,-0.9032308426779699
172,-0.8032970083663281
173,-0.9841296609302451
174,-1.0650284791825202
175,-1.1839973295535018
176,-1.160203559479273
177,-1.2886899178799787
178,-1.2601373937908609
179,-1.255378639776107
180,-1.2077910996276495
181,-1.1792385755386399
182,-1.0126821850192818
183,-0.993647168959915
184,-1.1126160193308967
185,-1.174479821523778
186,-1.174479821523805
187,-1.4933163405180434
188,-1.8407053836012643
189,-2.035814298209713
190,-2.0453318062393833
191,-2.050090560254191
192,-1.9406392179129603
193,-1.9216042018535935
194,-1.8407053836013185
195,-1.874016661705163
196,-1.8073941054974199
197,-1.7360127952748146
198,-1.7217365332303367
199,-1.7169777792154748
200,-1.6313202069483648
201,-1.6598727310373744
202,-1.4885575865032354
203,-1.3981412602212635
204,-1.3600712281025569
205,-1.2125498536424844
206,-1.4124175222657411
207,-1.6455964689928695
208,-1.7645653193639053
209,-1.5551801427109246
210,-1.517110110592218
211,-2.0120205281355115
212,-2.3356158011445847
213,-2.2118881967587685
214,-2.307063277055548
215,-2.2642344909219796
216,-2.207129442743906
217,-2.1167131164619883
218,-2.24519947486264
219,-2.088160592372952
220,-2.230923212818135
221,-2.207129442743933
222,-2.292787015011043
223,-2.483137175604603
224,-2.56879474787174
225,-2.592588517945888
226,-2.5164484537084477
227,-2.2689932449368415
228,-1.8311878755716486
229,-1.269654901820585
230,-0.8794370726037953
231,-0.812814516396025
232,-0.4987367514166215
233,-0.4892192433869246
234,-0.4130791791495115
235,-0.21321151052628176
236,-0.6605343879211447
237,-0.6986044200398783
238,-0.7747444842773454
239,-0.812814516395998
240,-0.7176394360992451
241,-0.6938456660250163
242,-0.7604682222327865
243,-0.6748106499657036
244,-0.8508845485147316
245,-0.903230842677943
246,-0.9746121529005752
247,-1.0317172010785944
248,-1.0364759550934564
249,-1.0888222492566948
250,-1.1268922813754014
251,-1.0364759550934834
252,-0.988888414945107
253,-0.8556433025295395
254,-0.812814516396025
255,-0.7366744521586119
256,-0.5986705857282634
257,-0.5368067835353281
258,-0.4321141952088783
259,-0.42735544119404334
260,-0.2893515747636949
261,-0.11327767621463984
262,-0.008585087888190042
263,0.005691174156314774
264,0.10086625445309469
265,0.22935261285377329
266,0.3530802172395899
267,0.5291541157886449
268,0.5815004099518833
269,0.6148116880557549
270,0.6671579822189663
271,0.7004692603228649
272,0.6957105063080571
273,0.7480568004712684
274,0.6623992282041855
275,0.6386054581299837
276,0.5577066398776815
277,0.4720490676105715
278,0.40066775738796634
279,0.43397903549189204
280,0.44349654352158896
281,0.4434965435215078
282,0.3435627092099471
283,0.3340452011802501
284,0.31976893913574533
285,0.31025143110607545
286,0.3530802172395899
287,0.3245276931505532
288,0.3150101851209104
289,0.24838762891316712
290,0.2816989070170117
291,0.2626638909576449
292,0.3054926770911864
293,0.30549267709121347
294,0.3721152332989567
295,0.42922028147703006
296,0.433979035491865
297,0.39590900337315843
298,0.4054265114028283
299,0.38639149534348854
300,0.4197027734473872
301,0.49108408366993833
302,0.45777280556606675
303,0.35783897125445185
304,0.31501018512085627
305,0.31976893913571824
306,0.31976893913571824
307,0.3340452011802501
308,0.4482552975363698
309,0.31976893913571824
310,0.36735647928412174
311,0.38163274132862657
312,0.3816327413286536
313,0.3245276931505803
314,0.33880395519508505
315,0.35783897125445185
316,0.3816327413286536
317,0.3768739873137916
318,0.4006677573879934
319,0.4054265114028283
320,0.43873778950669995
321,0.4625315595809017
322,0.48156657564029554
323,0.4149440194324982
324,0.4244615274621681
325,0.33880395519508505
326,0.1579713026311951
327,0.07231373036408506
328,0.10086625445312174
329,0.1770063186905619
330,0.19604133474990165
331,0.17224756467572697
332,0.1865238267202318
333,0.21983510482407637
334,0.20555884277957154
335,0.24362887489830515
336,0.22459385883893834
337,0.17700631869053485
338,0.24362887489827809
339,0.24362887489827809
340,0.25314638292797503
341,0.25790513694281
342,0.26742264497247986
343,0.21031759679440648
344,0.21983510482407637
345,0.257905136942837
346,0.2769401530021768
347,0.2864576610318737
348,0.3150101851208833
349,0.30549267709121347
350,0.3245276931505803
351,0.38639149534348854
352,0.5053603457144702
353,0.605294180026085
354,0.6243291960854248
355,0.5006015916996083
356,0.4530140515512318
357,0.3340452011802772
358,0.2959751690615165
359,0.3292864471654152
360,0.21031759679440648
361,0.23887012088344317
362,0.16273005664603005
363,0.21031759679446058
364,0.22935261285377329
365,0.2198351048241034
366,0.2198351048241034
367,0.167488810660865
368,0.14845379460149818
369,0.11514251649762657
370,0.11514251649762657
371,0.11038376248281867
372,0.10086625445309469
373,0.10562500846792963
374,0.10086625445309469
375,0.04376120627502133
376,0.043761206275048384
377,0.029484944230543566
378,0.043761206275048384
379,0.08183123839375495
380,0.03900245226021344
381,0.0152086821860117
382,0.03900245226018639
383,-0.013343841903052031
384,-0.04665512000692365
385,-0.03237885796239178
386,0.0152086821860117
387,0.06279622233438814
388,0.11514251649768066
389,0.0770724843789741
390,0.1579713026311951
391,0.14845379460149818
392,0.1579713026311951
393,0.20555884277957154
394,0.22935261285377329
395,0.21983510482407637
396,0.3150101851208833
397,0.36735647928412174
398,0.45301405155125885
399,0.4863253296551034
400,0.49108408366993833
401,0.5386716238183148
402,0.5053603457144432
403,0.47680782162543356
404,0.45777280556606675
405,0.39590900337315843
406,0.4292202814770571
407,0.5006015916996083
408,0.5577066398776815
409,0.61005293404092
410,0.5862591639667453
411,0.519636607758975
412,0.5006015916996353
413,0.4720490676105715
414,0.43873778950667286
415,0.4244615274621681
416,0.3768739873137916
417,0.3816327413286536
418,0.34356270920992
419,0.3102514311060213
420,0.3007339230763244
421,0.3102514311060213
422,0.338803955195058
423,0.28169890701698463
424,0.28169890701698463
425,0.3340452011802231
426,0.3292864471654152
427,0.3245276931505803
428,0.34832146322478197
429,0.4006677573879934
430,0.3911502493583235
431,0.43397903549189204
432,0.38163274132862657
433,0.3863914953434615
434,0.3530802172396169
435,0.3721152332989567
436,0.4006677573880204
437,0.4006677573880204
438,0.3625977252692868
439,0.3721152332989567
440,0.3245276931505803
441,0.3625977252693139
442,0.3625977252692868
443,0.35783897125445185
444,0.39115024935829645
445,0.39115024935829645
446,0.41018526541766326
447,0.4006677573879934
448,0.38163274132862657
449,0.41494401943252524
450,0.38163274132862657
451,0.34832146322475493
452,0.3530802172395899
453,0.37687398731381866
454,0.3673564792841488
455,0.22459385883893834
456,0.10562500846798373
457,0.167488810660865
458,0.22935261285374622
459,0.3102514311060484
460,0.3150101851208833
461,0.30549267709121347
462,0.28645766103184667
463,0.30073392307637853
464,0.3435627092099471
465,0.3292864471654152
466,0.3721152332989567
467,0.38639149534348854
468,0.40542651140285535
469,0.3911502493583505
470,0.3863914953435156
471,0.3721152332989837
472,0.36735647928412174
473,0.4054265114028013
474,0.4339790354918379
475,0.38163274132862657
476,0.3768739873137916
477,0.3625977252692868
478,0.3863914953434615
479,0.3721152332989567
480,0.38163274132862657
481,0.41494401943252524
482,0.38639149534348854
483,0.39115024935829645
484,0.4434965435215349
485,0.45777280556603966
486,0.41018526541763617
487,0.39115024935829645
488,0.4054265114028283
489,0.4054265114028283
490,0.433979035491865
491,0.3340452011802231
492,0.3340452011802772
493,0.30549267709121347
494,0.08183123839375495
495,0.02472619021568158
496,0.1294187785421584
497,0.167488810660865
498,0.23411136686860823
499,0.2674226449725069
500,0.31976893913574533
501,0.31976893913574533
502,0.3150101851209104
503,0.36735647928412174
504,0.3768739873137916
505,0.38163274132862657
506,0.3530802172396169
507,0.35783897125445185
508,0.3625977252692868
509,0.4006677573879934
510,0.41018526541766326
511,0.3768739873137916
512,0.3768739873137916
513,0.3768739873137916
514,0.36259772526925976
