,0
0,-3.4610072988257907
1,-2.4996528886905844
2,-1.9927569269829548
3,-1.2411525699679622
4,-0.40215235748651185
5,0.01734774875426294
6,0.3844103417151334
7,0.19213945968802262
8,0.06978526203441568
9,0.47180619718188904
10,0.26205614406142713
11,0.48928536827524016
12,0.7339937635824043
13,0.9961813299829196
14,1.1709730409166297
15,1.2059313831032326
16,1.3807230940369921
17,0.9787021588895188
18,1.1010563565429767
19,1.2583688963833357
20,1.2758480674766868
21,1.4156814362236447
22,1.363243922943641
23,0.9262646456094158
24,1.1709730409164807
25,1.1010563565431257
26,0.961222987796118
27,1.1709730409164807
28,1.1534938698231791
29,0.8913063034227136
30,1.2583688963833357
31,1.0660980143563739
32,1.1709730409165302
33,1.2583688963833357
34,1.4681189495037479
35,1.2933272385701868
36,1.4156814362236447
37,1.4156814362236945
38,1.2758480674766868
39,1.5205564627838508
40,1.7827440291843166
41,1.5904731471574045
42,1.5205564627838508
43,1.5030772916904998
44,1.852660713557721
45,1.712827344810912
46,1.7827440291844159
47,2.446952530732355
48,2.4294733596390037
49,2.202244135425141
50,2.1323274510517365
51,2.1148482799584847
52,2.1323274510517365
53,2.202244135425141
54,1.7477856869976143
55,1.5205564627838508
56,0.9961813299829196
57,0.961222987796118
58,1.1709730409166297
59,1.555514804970603
60,1.2933272385701373
61,1.2408897252899844
62,1.3457647518502402
63,1.1884522120098815
64,1.5030772916905992
65,1.7303065159043625
66,2.2197233065186412
67,2.0973691088650344
68,1.8002232002776677
69,1.800223200277767
70,1.8177023713711182
71,1.9225773979313243
72,2.0973691088650344
73,2.2197233065185915
74,2.3770358463589503
75,2.0099732533981793
76,2.1323274510517365
77,1.7652648580909653
78,1.0136605010761714
79,0.40188951280848456
80,0.506764539368641
81,0.2270978018746255
82,-0.017610593432339956
83,-0.12248561999264544
84,-0.10500644889929431
85,-0.19240230436609962
86,0.017347748754362298
87,0.26205614406142713
88,0.7165145924891029
89,0.82138961904916
90,0.9087854745160646
91,0.8563479612358622
92,0.4543270260885379
93,0.3844103417151334
94,0.1571811175011713
95,-0.017610593432389635
96,0.5067645393685913
97,0.15718111750127067
98,0.1047436042212173
99,0.29701448624817905
100,0.05230609094101488
101,-0.0700481067124927
102,0.06978526203441568
103,0.20961863078137374
104,0.20961863078132406
105,-0.05256893561919125
106,0.06978526203446536
107,0.3844103417150341
108,0.6640770792089005
109,0.9262646456094654
110,1.1010563565431257
111,1.2059313831033318
112,1.2408897252900342
113,0.8388687901426105
114,1.031139672169622
115,0.9262646456094158
116,0.8738271323293624
117,0.8039104479558089
118,0.9262646456094158
119,1.2408897252900342
120,1.4156814362236945
121,1.4331606073170953
122,1.34576475185029
123,1.0136605010762212
124,0.8563479612359616
125,0.9262646456094654
126,0.8388687901426601
127,0.6640770792089502
128,0.7514729346758051
129,0.856347961235912
130,0.7689521057691066
131,0.856347961235912
132,0.6990354213956524
133,0.7514729346758051
134,0.7165145924890035
135,0.4368478549951371
136,0.5242437104619424
137,0.559202052648595
138,0.5941603948354462
139,0.45432702608843856
140,0.45432702608843856
141,0.3844103417150341
142,0.15718111750127067
143,0.1746602885946218
144,0.17466028859467148
145,0.22709780187477455
146,0.26205614406142713
147,-0.00013142233908818688
148,-0.0875272778058935
149,-0.10500644889929431
150,-0.10500644889919496
151,-1.0838400301278517
152,-1.5382984785553784
153,-1.7830068738623936
154,-1.7655277027691418
155,-1.3635067676216188
156,-1.3984651098083707
157,-0.9440066613807446
158,-0.6293815817003249
159,-0.6643399238870272
160,-0.41963152857976366
161,-0.5419857262334202
162,-0.5594648973267714
163,-0.7692149504471836
164,-0.6818190949803783
165,-0.7866941215405844
166,-0.7167774371670805
167,-0.6643399238870769
168,-0.6468607527935767
169,-0.9090483191941416
170,-0.87408997700734
171,-0.7866941215405844
172,-0.8391316348207372
173,-0.7167774371670805
174,-0.8915691481007408
175,-0.5769440684201722
176,-0.5769440684201225
177,-0.5245065551400692
178,-0.5070273840467677
179,-0.507027384046718
180,-0.5944232395135233
181,-0.7167774371670309
182,-0.8391316348206378
183,-0.856610805913989
184,-0.7517357793538325
185,-0.8216524637272867
186,-0.7167774371670805
187,-0.87408997700734
188,-0.9440066613808439
189,-0.856610805913989
190,-0.8041732926339852
191,-0.7517357793538821
192,-0.5419857262335196
193,-0.3671940152998096
194,-0.38467318639311104
195,-0.47206904185996607
196,-0.45458987076661495
197,-0.5944232395135233
198,-0.7866941215405348
199,-0.9789650035675462
200,-0.909048319194241
201,-1.0488816879410998
202,-0.8740899770073898
203,-0.9440066613808439
204,-0.9964441746610464
205,-1.0139233457543975
206,-0.9789650035675959
207,-0.8391316348205882
208,-0.8915691481007408
209,-0.5944232395135233
210,-0.7167774371671799
211,-0.6119024106069241
212,-0.4720690418599164
213,-0.332235673113008
214,-0.36719401529971024
215,-0.3671940152997599
216,-0.3846731863931607
217,-0.4371106996732638
218,-0.419631528579863
