,0
0,-1.4932519213175828
1,-1.0273993490305158
2,-0.8376075603210718
3,-0.9411303541625332
4,-0.8203537613473968
5,-0.8721151582682255
6,-0.8548613592946487
7,-0.7858461634001448
8,-0.8030999623738199
9,-1.0791607459511485
10,-0.8203537613472986
11,-0.527039178796295
12,-0.5270391787963931
13,-0.37175498803390666
14,-0.5960543746907008
15,-0.5960543746907008
16,-0.4752777818755643
17,-0.9238765551890543
18,-1.1309221428720753
19,-1.0964145449249216
20,-1.1481759418456523
21,-1.010145550056939
22,-0.768592364426568
23,-0.992891751083362
24,-1.182683539792904
25,-1.1481759418456523
26,-0.9583841531362082
27,-0.7340847664794141
28,-0.6650695705850084
29,-0.768592364426666
30,-0.768592364426666
31,-0.6305619726379527
32,-0.4752777818754662
33,-0.6823233695586833
34,-0.6823233695586833
35,-0.8893689572419006
36,-0.7513385654530891
37,-0.6995771685322603
38,-0.16470940035088566
39,0.0250823883586565
40,-0.23372459624529138
41,-0.7513385654530891
42,-0.7340847664795122
43,-0.54429297776997
44,-0.5788005757172219
45,-0.9411303541625332
46,-0.8893689572418024
47,-0.7858461634002429
48,-0.992891751083362
49,-1.3034601326079425
50,-1.1481759418455542
51,-0.8721151582681275
52,-0.8721151582682255
53,-0.5270391787964912
54,-0.5615467767435469
55,-0.6650695705850084
56,-0.6478157716115296
57,-0.6823233695587815
58,-0.751338565452991
59,-0.9583841531361101
60,-0.8203537613474948
61,-0.751338565452991
62,-0.6650695705851065
63,-0.5097853798227181
64,-0.5097853798227181
65,-0.40626258598115855
66,-0.09569420445657803
67,0.16311278014736985
68,0.38741216680416396
69,0.14585898117389104
70,-2.338688071023538
71,-3.3394084114919798
72,-3.5637077981486756
73,-2.8908096381784896
74,-2.4767184628123493
75,-1.8210741018157404
76,-1.234444936713635
77,-0.8203537613474948
78,-0.6650695705851065
79,-0.5615467767435469
80,-0.37175498803390666
81,-0.5788005757171238
82,-0.6133081736641796
83,-0.37175498803390666
84,-0.16470940035088566
85,-0.33724739008685095
86,-0.6995771685322603
87,-0.8376075603209736
88,-1.2689525346606907
