,0
0,-1.183918697820595
1,-1.1274982995808935
2,-1.2089944303715574
3,-1.183918697820595
4,-1.0585400350656753
5,-1.0710779013411567
6,-1.0271953693769722
7,-0.8830099072087949
8,-0.7952448432803192
9,-0.7701691107293209
10,-0.6322525816989201
11,-0.6949419130763621
12,-0.5382185846327036
13,-0.5570253840459968
14,-0.4504535207042278
15,-0.45045352070429906
16,-0.38776418932682144
17,-0.41283992187778396
18,-0.36268845677582323
19,-0.4065709887400433
20,-0.3250748579493438
21,-0.39403312246452643
22,-0.39403312246456207
23,-0.4943360526684835
24,-0.5068739189439648
25,-0.475529253255226
26,-0.531949651494963
27,-0.5131428520817767
28,-0.5570253840460324
29,-0.5068739189440005
30,-0.46926032011748536
31,-0.41283992187778396
32,-0.4128399218778196
33,-0.2498476602963849
34,-0.26865445970960683
35,-0.31880592481156755
36,-0.3125369916738625
37,-0.419108855015489
38,-0.5632943171836662
39,-0.6573283142498826
40,-0.7639001775915804
41,-0.8892788403465356
42,-0.7450933781782871
43,-0.7012108462141027
44,-0.6573283142498826
45,-0.6635972473876589
46,-0.7012108462141383
47,-0.6197147154234388
48,-0.644790447974437
49,-0.7513623113160635
50,-0.8015137764180598
51,-0.5758321834592187
52,-0.8015137764180598
53,-1.0334643025146772
54,-1.284221628024552
55,-1.4848274884324661
56,-1.5663236192230945
57,-1.6164750843250553
58,-1.6290129506005722
59,-1.5475168198099083
60,-1.672895482564828
61,-1.6039372180496096
62,-1.5913993517740928
63,-1.5725925523608708
64,-1.5224410872589456
65,-1.503634287845688
66,-1.4660206890192087
67,-1.5600546860853182
68,-1.5287100203966506
69,-1.5349789535343557
70,-1.453482822743656
71,-1.4848274884323949
72,-1.4096002907794716
73,-1.5224410872588745
74,-1.641550816876089
75,-1.666626549427087
76,-1.7293158808045292
77,-1.7167780145290479
78,-1.7042401482535667
79,-1.7418537470800104
80,-1.6979712151157904
81,-1.6540886831515702
82,-1.5851304186363877
83,-1.534978953534427
84,-1.4346760233304698
85,-1.4346760233304698
86,-1.422138157054953
87,-1.3469109594020297
88,-1.2654148286112945
89,-1.3281041599887722
90,-1.2716837617489996
91,-1.3281041599887364
92,-1.2654148286112945
93,-1.2278012297847793
94,-1.1776497646828898
95,-1.1086915001676003
96,-1.0961536338921192
97,-1.1337672327186343
98,-1.0836157676166736
99,-1.0146575031014553
100,-1.0773468344789328
101,-1.0836157676166378
102,-1.140036165856375
103,-1.2152633635092982
104,-1.2716837617489996
105,-1.3469109594020297
106,-1.4284070901926935
107,-1.5161721541211337
108,-1.3970624245039904
109,-1.4472138896059155
110,-1.6102061511873502
111,-1.5913993517740928
112,-1.6102061511873502
113,-1.4096002907794716
114,-1.3092973605755145
115,-1.3155662937132908
116,-1.2967594942999976
117,-1.259145895473554
118,-1.290490561162257
119,-1.2904905611622928
120,-1.2842216280245164
121,-1.3343730931264772
122,-1.2842216280244807
123,-1.2528769623358131
124,-1.3092973605755145
125,-1.2466080291980726
126,-1.1901876309583357
127,-1.165111898407373
128,-1.0334643025146772
129,-1.127498299580858
130,-1.0585400350656398
131,-1.0585400350656753
132,-1.0460021687901941
133,-1.0083885699637503
134,-0.9080856397597219
135,-1.0648089682034159
136,-0.8516652415200562
137,-0.9394303054484964
138,-1.1212293664431172
139,-1.2215322966470743
140,-1.2528769623357776
141,-1.0710779013411922
142,-1.0898847007544141
143,-1.0083885699637145
144,-1.0585400350656753
145,-1.0836157676166736
146,-1.008388569963679
147,-1.027195369376901
148,-1.0021196368259027
149,-0.9268924391729794
150,-1.0836157676166378
151,-1.0209264362391959
152,-1.0397332356524533
153,-1.008388569963679
154,-0.9582371048617182
155,-0.9833128374127165
156,-1.0083885699637145
157,-0.9707749711371995
158,-0.9394303054484964
159,-0.8892788403465356
160,-0.9018167066220169
161,-0.9456992385862013
162,-1.0209264362392314
163,-1.0397332356524533
164,-0.989581770550457
165,-0.9519681717239776
166,-0.9206235060352388
167,-0.8767409740710187
168,-0.8892788403465356
169,-0.8391273752445749
170,-0.8077827095558004
171,-0.8077827095558361
172,-0.7576312444538397
173,-0.7639001775915804
174,-0.7827069770048022
175,-0.7513623113160635
176,-0.757631244453804
177,-0.7889759101425785
178,-0.7576312444538397
179,-0.6886729799386571
180,-0.7137487124896552
181,-0.6573283142499539
182,-0.6510593811122133
183,-0.7262865787651365
184,-0.7200176456273246
185,-0.6698661805253995
186,-0.6322525816989201
187,-0.6322525816989201
188,-0.6573283142499539
189,-0.6635972473876589
190,-0.7200176456273603
191,-0.707479779351879
192,-0.7639001775915804
193,-0.9143545728975337
194,-1.0271953693769365
195,-0.9456992385862726
196,-0.9018167066220169
197,-0.8453963083822799
198,-0.8265895089690223
199,-0.7764380438670616
200,-0.7576312444538397
201,-0.7388244450406178
202,-0.7827069770048378
203,-0.569563250321478
204,-0.5194117852195174
205,-0.4629913869797803
206,-0.40657098874007896
207,-0.3438816573625657
208,-0.3564195236380826
209,-0.36268845677582323
210,-0.42537778815326527
211,-0.4817981863930379
212,-0.4880671195307429
213,-0.47552925325526163
214,-0.3814952561890452
215,-0.36268845677582323
216,-0.4191088550155603
217,-0.4128399218778196
218,-0.48179818639300226
219,-0.4441845875665228
220,-0.4504535207042634
221,-0.4629913869797447
222,-0.48179818639300226
223,-0.4441845875665228
224,-0.4191088550155603
225,-0.4441845875665228
226,-0.3752263230513402
227,-0.39403312246456207
228,-0.350150590500342
229,-0.3250748579493438
230,-0.31880592481160314
231,-0.3062680585361219
232,-0.3062680585361219
233,-0.36268845677582323
234,-0.3752263230513402
235,-0.3626884567757876
236,-0.36268845677582323
237,-0.4065709887400433
238,-0.3564195236380826
239,-0.41283992187778396
240,-0.35641952363804696
241,-0.35641952363804696
242,-0.35641952363804696
243,-0.37522632305130454
244,-0.37522632305130454
245,-0.3376127242248251
246,-0.3313437910870488
247,-0.35015059050030634
248,-0.3877641893267858
249,-0.4065709887400433
250,-0.4253777881533009
251,-0.41283992187778396
252,-0.46926032011748536
253,-0.469260320117521
254,-0.43164672129104154
