time_ms,f0
0.0,
2.004504634994206,
4.009009269988412,
6.013513904982618,
8.018018539976824,
10.02252317497103,
12.027027809965237,
14.031532444959442,
16.036037079953648,
18.040541714947853,
20.04504634994206,
22.049550984936264,
24.054055619930473,
26.058560254924675,
28.063064889918884,
30.06756952491309,
32.072074159907295,
34.0765787949015,
36.081083429895706,
38.08558806488991,
40.09009269988412,
42.09459733487832,
44.09910196987253,
46.10360660486674,
48.108111239860946,
50.112615874855145,
52.11712050984935,
54.12162514484356,
56.12612977983777,
58.130634414831974,
60.13513904982617,
62.139643684820385,
64.14414831981459,
66.1486529548088,
68.153157589803,
70.1576622247972,
72.16216685979141,
74.16667149478562,
76.17117612977982,
78.17568076477403,
80.18018539976823,
82.18469003476245,
84.18919466975665,
86.19369930475085,
88.19820393974506,
90.20270857473926,
92.20721320973348,
94.21171784472769,
96.21622247972188,
98.2207271147161,
100.22523174971028,
102.22973638470452,
104.2342410196987,
106.23874565469292,
108.24325028968713,
110.24775492468132,
112.25225955967554,
114.25676419466974,
116.26126882966396,
118.26577346465815,
120.27027809965234,
122.27478273464656,
124.27928736964076,
126.28379200463496,
128.28829663962918,
130.2928012746234,
132.2973059096176,
134.30181054461178,
136.306315179606,
138.31081981460022,
140.3153244495944,
142.31982908458863,
144.32433371958282,
146.32883835457702,
148.33334298957124,
150.33784762456546,
152.34235225955965,
154.34685689455387,
156.35136152954806,
158.35586616454228,
160.36037079953647,
162.3648754345307,
164.3693800695249,
166.37388470451907,
168.3783893395133,
170.3828939745075,
172.3873986095017,
174.39190324449592,
176.3964078794901,
178.40091251448433,
180.40541714947852,
182.40992178447271,
184.41442641946696,
186.41893105446113,
188.42343568945537,
190.42794032444957,
192.4324449594438,
194.436949594438,
196.4414542294322,
198.4459588644264,
200.45046349942055,
202.4549681344148,
204.45947276940905,
206.4639774044032,
208.4684820393974,
210.4729866743916,
212.47749130938584,
214.48199594438003,
216.48650057937425,
218.49100521436844,
220.49550984936263,
222.50001448435685,
224.50451911935107,
226.5090237543453,
228.51352838933948,
230.51803302433368,
232.5225376593279,
234.5270422943221,
236.5315469293163,
238.53605156431053,
240.5405561993047,
242.5450608342989,
244.54956546929313,
246.55407010428732,
248.5585747392815,
250.56307937427573,
252.56758400926992,
254.57208864426417,
256.57659327925836,
258.58109791425255,
260.5856025492468,
262.590107184241,
264.5946118192352,
266.5991164542294,
268.60362108922357,
270.60812572421776,
272.612630359212,
274.6171349942062,
276.62163962920044,
278.62614426419464,
280.6306488991888,
282.6351535341831,
284.63965816917727,
286.64416280417146,
288.64866743916565,
290.65317207415984,
292.65767670915403,
294.6621813441483,
296.66668597914247,
298.67119061413666,
300.6756952491309,
302.6801998841251,
304.6847045191193,
306.68920915411354,
308.69371378910773,
310.69821842410187,
312.7027230590961,
314.7072276940903,
316.71173232908455,
318.71623696407875,
320.72074159907294,
322.7252462340672,
324.7297508690614,
326.73425550405557,
328.7387601390498,
330.74326477404395,
332.74776940903814,
334.7522740440324,
336.7567786790266,
338.7612833140208,
340.765787949015,
342.7702925840092,
344.7747972190034,
346.77930185399765,
