eyebrow,pitch
-0.9808499578712604,-0.6037050286845481
-0.9795573816034742,-0.5816601448463778
-0.978264805335688,-0.5555634111374534
-0.9769722290679016,-0.5259141222813304
-0.9756796528001156,-0.493211573001566
-0.9741716471543664,-0.4579550580217188
-0.9722327827526918,-0.42064387206533876
-0.970293918351017,-0.38177730985598735
-0.9683550539493424,-0.3418546661172159
-0.9664161895476676,-0.3013752355725859
-0.9644773251459928,-0.2608383129456473
-0.962538460744318,-0.22047223415938985
-0.9605995963426434,-0.18216672224983788
-0.9586607319409686,-0.14675763739652262
-0.956721867539294,-0.11397871948721966
-0.9547830031376192,-0.08266571054868632
-0.9528441387359444,-0.0535935076314596
-0.9509052743342696,-0.027422919599019314
-0.948966409932595,-0.004784320412000145
-0.9470275455309204,0.013828688481972032
-0.9450886811292456,0.02810346140505432
-0.9431498167275708,0.038063914571704986
-0.942934387349605,0.0441380609690091
-0.9435806754834934,0.047044078637085276
-0.944226963617382,0.04749471424911313
-0.9448732517512703,0.04596583310291785
-0.945519539885159,0.04270410122773578
-0.9461658280190476,0.037871738692346196
-0.946812116152936,0.03166225597254596
-0.9474584042868246,0.024353872626183694
-0.948104692420713,0.016274573298531967
-0.9487509805546016,0.007709157182361483
-0.94939726868849,-0.0011847170422699357
-0.9500435568223786,-0.010401776222374395
-0.9506898449562672,-0.020055681217409128
-0.9513361330901556,-0.030295553373664103
-0.9519824212240442,-0.0411993310603604
-0.9526287093579326,-0.052705359879064204
-0.9532749974918212,-0.064614138667522
-0.9345326416089328,-0.0766508735612278
-0.9157902857260448,-0.0885691385752491
-0.8970479298431564,-0.10024861527693392
-0.8783055739602681,-0.11173195296349114
-0.8595632180773798,-0.12317597027253185
-0.8408208621944916,-0.134744054074025
-0.8220785063116033,-0.14651067192448597
-0.803336150428715,-0.1584324482519479
-0.7845937945458268,-0.1703801597306345
-0.7658514386629385,-0.1821983751069784
-0.7471090827800502,-0.1937617619684763
-0.7283667268971619,-0.20500889940883774
-0.7096243710142758,-0.21594305146055234
-0.6908820151313875,-0.2266253046227426
-0.6721396592484992,-0.23715596038949094
-0.6533973033656109,-0.2476731764214995
-0.6419795463335061,-0.2583351378109838
-0.6452109870029706,-0.2692964682671686
-0.6484424276724353,-0.2806434720682579
-0.6516738683418999,-0.29235104069124257
-0.6549053090113646,-0.30424648228454
-0.6581367496808291,-0.31605041272868845
-0.6613681903502938,-0.3274653150517174
-0.6645996310197584,-0.33828837753679303
-0.667831071689223,-0.3484505126512078
-0.6710625123586876,-0.35800923024989917
-0.6742939530281522,-0.36706041177740906
-0.6775253936976169,-0.37568692165237066
-0.6807568343670815,-0.3838906305323851
-0.683988275036546,-0.3915932352739092
-0.6872197157060107,-0.3986585594091706
-0.6904511563754753,-0.4050248349761307
-0.69368259704494,-0.4107997852030202
-0.7046694953211137,-0.41645641974860764
-0.7195341224006433,-0.42285673285694586
-0.7343987494801728,-0.4310843612818801
-0.7492633765597024,-0.4422742844991994
-0.7641280036392321,-0.45689210058049623
-0.7789926307187617,-0.47379500640271005
-0.7938572577982912,-0.4904661184834242
-0.8087218848778208,-0.5045387257568599
-0.8235865119573504,-0.5146226299019839
-0.8384511390368801,-0.5200214173140901
-0.8533157661164097,-0.5203826267828265
-0.8681803931959392,-0.5156168347931788
-0.8830450202754688,-0.5058429153169884
-0.8979096473549985,-0.49137131936214673
-0.912774274434528,-0.4726821672141279
-0.9276389015140576,-0.4503743997846862
-0.9425035285935872,-0.42514712054662573
-0.962538460744269,-0.39776458473522236
-0.9825733928949506,-0.3690603459361095
-1.0026083250456324,-0.3398865659647439
-1.022643257196314,-0.311129883938119
-1.042678189346996,-0.2837277063021693
-1.0627131214976775,-0.2587692603235683
-1.0827480536483591,-0.2374724261457201
-1.102782985799041,-0.22114115598376932
-1.1228179179497226,-0.21083635327723202
-1.1428528501004045,-0.2070454639246935
-1.162887782251086,-0.20938001826403116
-1.1829227144017678,-0.21622262580523047
-1.2029576465524494,-0.22511374673754705
-1.222992578703131,-0.2341446062374464
-1.243027510853813,-0.24283477379179053
-1.2630624430044946,-0.2514117434393503
-1.2798659344857108,-0.2599696689624823
-1.2902065446279951,-0.2684180193126142
-1.3005471547702794,-0.276652937920677
-1.3108877649125636,-0.28458571347120437
-1.321228375054848,-0.29218231665736916
-1.3315689851971322,-0.29947881929503334
-1.3419095953394164,-0.3065584718120165
-1.3522502054817007,-0.3135356086482928
-1.3625908156239848,-0.32048879564844457
-1.372931425766269,-0.3274279115227845
-1.3832720359085533,-0.3342704320765216
-1.3936126460508376,-0.34088125813387093
-1.4039532561931218,-0.3471164787552803
-1.414293866335406,-0.35290344806213814
-1.4246344764776904,-0.35826036804594147
-1.4349750866199746,-0.36329774785928753
-1.445315696762259,-0.3681643327037083
-1.4479008492978254,-0.3730055143584865
